component,category,subcategory,baseline_date,Spring_flag,Winter_flag,projected_fiscal_year,projected_year_number,value
revenue,Payroll Taxes,Payroll Taxes,1983-02-01,FALSE,TRUE,1987,5,303
revenue,Payroll Taxes,Payroll Taxes,1983-02-01,FALSE,TRUE,1988,6,326
revenue,Excise Taxes,Excise Taxes,1983-02-01,FALSE,TRUE,1982,0,36.311
revenue,Excise Taxes,Excise Taxes,1983-02-01,FALSE,TRUE,1983,1,37
revenue,Excise Taxes,Excise Taxes,1983-02-01,FALSE,TRUE,1984,2,41
revenue,Excise Taxes,Excise Taxes,1983-02-01,FALSE,TRUE,1985,3,42
revenue,Excise Taxes,Excise Taxes,1983-02-01,FALSE,TRUE,1986,4,36
revenue,Excise Taxes,Excise Taxes,1983-02-01,FALSE,TRUE,1987,5,35
revenue,Excise Taxes,Excise Taxes,1983-02-01,FALSE,TRUE,1988,6,36
revenue,Estate and Gift Taxes,Estate and Gift Taxes,1983-02-01,FALSE,TRUE,1982,0,7.991
revenue,Estate and Gift Taxes,Estate and Gift Taxes,1983-02-01,FALSE,TRUE,1983,1,6.4
revenue,Estate and Gift Taxes,Estate and Gift Taxes,1983-02-01,FALSE,TRUE,1984,2,6
revenue,Estate and Gift Taxes,Estate and Gift Taxes,1983-02-01,FALSE,TRUE,1985,3,5.6
revenue,Estate and Gift Taxes,Estate and Gift Taxes,1983-02-01,FALSE,TRUE,1986,4,5.2
revenue,Estate and Gift Taxes,Estate and Gift Taxes,1983-02-01,FALSE,TRUE,1987,5,4.8
revenue,Estate and Gift Taxes,Estate and Gift Taxes,1983-02-01,FALSE,TRUE,1988,6,4.4
revenue,Customs Duties,Customs Duties,1983-02-01,FALSE,TRUE,1982,0,8.854
revenue,Customs Duties,Customs Duties,1983-02-01,FALSE,TRUE,1983,1,9.4
revenue,Customs Duties,Customs Duties,1983-02-01,FALSE,TRUE,1984,2,9.7
revenue,Customs Duties,Customs Duties,1983-02-01,FALSE,TRUE,1985,3,10
revenue,Customs Duties,Customs Duties,1983-02-01,FALSE,TRUE,1986,4,10.3
revenue,Customs Duties,Customs Duties,1983-02-01,FALSE,TRUE,1987,5,10.6
revenue,Customs Duties,Customs Duties,1983-02-01,FALSE,TRUE,1988,6,10.9
revenue,Miscellaneous Receipts,Miscellaneous Receipts,1983-02-01,FALSE,TRUE,1982,0,16.161
revenue,Miscellaneous Receipts,Miscellaneous Receipts,1983-02-01,FALSE,TRUE,1983,1,15
revenue,Miscellaneous Receipts,Miscellaneous Receipts,1983-02-01,FALSE,TRUE,1984,2,13
revenue,Miscellaneous Receipts,Miscellaneous Receipts,1983-02-01,FALSE,TRUE,1985,3,14
revenue,Miscellaneous Receipts,Miscellaneous Receipts,1983-02-01,FALSE,TRUE,1986,4,13
revenue,Miscellaneous Receipts,Miscellaneous Receipts,1983-02-01,FALSE,TRUE,1987,5,13
revenue,Miscellaneous Receipts,Miscellaneous Receipts,1983-02-01,FALSE,TRUE,1988,6,13
revenue,Total,Total,1983-08-01,FALSE,FALSE,1983,1,600
revenue,Total,Total,1983-08-01,FALSE,FALSE,1984,2,665
revenue,Total,Total,1983-08-01,FALSE,FALSE,1985,3,733
revenue,Total,Total,1983-08-01,FALSE,FALSE,1986,4,796
revenue,Individual Income Taxes,Individual Income Taxes,1983-08-01,FALSE,FALSE,1983,1,288
revenue,Individual Income Taxes,Individual Income Taxes,1983-08-01,FALSE,FALSE,1984,2,293
revenue,Individual Income Taxes,Individual Income Taxes,1983-08-01,FALSE,FALSE,1985,3,324
revenue,Individual Income Taxes,Individual Income Taxes,1983-08-01,FALSE,FALSE,1986,4,353
revenue,Corporate Income Taxes,Corporate Income Taxes,1983-08-01,FALSE,FALSE,1983,1,36
revenue,Corporate Income Taxes,Corporate Income Taxes,1983-08-01,FALSE,FALSE,1984,2,60
revenue,Corporate Income Taxes,Corporate Income Taxes,1983-08-01,FALSE,FALSE,1985,3,68
revenue,Corporate Income Taxes,Corporate Income Taxes,1983-08-01,FALSE,FALSE,1986,4,78
revenue,Payroll Taxes,Payroll Taxes,1983-08-01,FALSE,FALSE,1983,1,211
revenue,Payroll Taxes,Payroll Taxes,1983-08-01,FALSE,FALSE,1984,2,243
revenue,Payroll Taxes,Payroll Taxes,1983-08-01,FALSE,FALSE,1985,3,272
revenue,Payroll Taxes,Payroll Taxes,1983-08-01,FALSE,FALSE,1986,4,300
revenue,Excise Taxes,Excise Taxes,1983-08-01,FALSE,FALSE,1983,1,35
revenue,Excise Taxes,Excise Taxes,1983-08-01,FALSE,FALSE,1984,2,37
revenue,Excise Taxes,Excise Taxes,1983-08-01,FALSE,FALSE,1985,3,38
revenue,Excise Taxes,Excise Taxes,1983-08-01,FALSE,FALSE,1986,4,33
revenue,Estate and Gift Taxes,Estate and Gift Taxes,1983-08-01,FALSE,FALSE,1983,1,6
revenue,Estate and Gift Taxes,Estate and Gift Taxes,1983-08-01,FALSE,FALSE,1984,2,6
revenue,Estate and Gift Taxes,Estate and Gift Taxes,1983-08-01,FALSE,FALSE,1985,3,6
revenue,Estate and Gift Taxes,Estate and Gift Taxes,1983-08-01,FALSE,FALSE,1986,4,5
revenue,Customs Duties,Customs Duties,1983-08-01,FALSE,FALSE,1983,1,8
revenue,Customs Duties,Customs Duties,1983-08-01,FALSE,FALSE,1984,2,10
revenue,Customs Duties,Customs Duties,1983-08-01,FALSE,FALSE,1985,3,10
revenue,Customs Duties,Customs Duties,1983-08-01,FALSE,FALSE,1986,4,10
revenue,Miscellaneous Receipts,Miscellaneous Receipts,1983-08-01,FALSE,FALSE,1983,1,16
revenue,Miscellaneous Receipts,Miscellaneous Receipts,1983-08-01,FALSE,FALSE,1984,2,16
revenue,Miscellaneous Receipts,Miscellaneous Receipts,1983-08-01,FALSE,FALSE,1985,3,16
revenue,Miscellaneous Receipts,Miscellaneous Receipts,1983-08-01,FALSE,FALSE,1986,4,16
revenue,Total,Total,1984-02-01,FALSE,TRUE,1983,0,600.562
revenue,Total,Total,1984-02-01,FALSE,TRUE,1984,1,663
revenue,Total,Total,1984-02-01,FALSE,TRUE,1985,2,732.9
revenue,Total,Total,1984-02-01,FALSE,TRUE,1986,3,794.8
revenue,Total,Total,1984-02-01,FALSE,TRUE,1987,4,863.4
revenue,Total,Total,1984-02-01,FALSE,TRUE,1988,5,945
revenue,Total,Total,1984-02-01,FALSE,TRUE,1989,6,1015.6
revenue,Individual Income Taxes,Individual Income Taxes,1984-02-01,FALSE,TRUE,1983,0,288.938
revenue,Individual Income Taxes,Individual Income Taxes,1984-02-01,FALSE,TRUE,1984,1,293.6
revenue,Individual Income Taxes,Individual Income Taxes,1984-02-01,FALSE,TRUE,1985,2,328.7
revenue,Individual Income Taxes,Individual Income Taxes,1984-02-01,FALSE,TRUE,1986,3,361.6
