outlay_category,outlay_subcategory,changes_baseline_date,baseline_name,change_category,projected_fiscal_year,changes_projected_outlay
Discretionary,Nondefense Discretionary,1990-08-01,August 1990 Baseline,Technical,1995,0.000
Discretionary,Nondefense Discretionary,1991-01-01,January 1991 Baseline,Economic,1990,0.000
Discretionary,Nondefense Discretionary,1991-01-01,January 1991 Baseline,Economic,1991,0.000
Discretionary,Nondefense Discretionary,1991-01-01,January 1991 Baseline,Economic,1992,0.000
Discretionary,Nondefense Discretionary,1991-01-01,January 1991 Baseline,Economic,1993,0.000
Discretionary,Nondefense Discretionary,1991-01-01,January 1991 Baseline,Economic,1994,0.000
Discretionary,Nondefense Discretionary,1991-01-01,January 1991 Baseline,Economic,1995,0.000
Discretionary,Nondefense Discretionary,1991-01-01,January 1991 Baseline,Legislative,1990,0.000
Discretionary,Nondefense Discretionary,1991-01-01,January 1991 Baseline,Legislative,1991,0.000
Discretionary,Nondefense Discretionary,1991-01-01,January 1991 Baseline,Legislative,1992,0.000
Discretionary,Nondefense Discretionary,1991-01-01,January 1991 Baseline,Legislative,1993,0.000
Discretionary,Nondefense Discretionary,1991-01-01,January 1991 Baseline,Legislative,1994,0.000
Discretionary,Nondefense Discretionary,1991-01-01,January 1991 Baseline,Legislative,1995,0.000
Discretionary,Nondefense Discretionary,1991-01-01,January 1991 Baseline,Technical,1990,0.000
Discretionary,Nondefense Discretionary,1991-01-01,January 1991 Baseline,Technical,1991,0.000
Discretionary,Nondefense Discretionary,1991-01-01,January 1991 Baseline,Technical,1992,0.000
Discretionary,Nondefense Discretionary,1991-01-01,January 1991 Baseline,Technical,1993,0.000
Discretionary,Nondefense Discretionary,1991-01-01,January 1991 Baseline,Technical,1994,0.000
Discretionary,Nondefense Discretionary,1991-01-01,January 1991 Baseline,Technical,1995,0.000
Discretionary,Nondefense Discretionary,1991-08-01,August 1991 Baseline,Economic,1991,0.000
Discretionary,Nondefense Discretionary,1991-08-01,August 1991 Baseline,Economic,1992,0.000
Discretionary,Nondefense Discretionary,1991-08-01,August 1991 Baseline,Economic,1993,0.000
Discretionary,Nondefense Discretionary,1991-08-01,August 1991 Baseline,Economic,1994,0.000
Discretionary,Nondefense Discretionary,1991-08-01,August 1991 Baseline,Economic,1995,0.000
Discretionary,Nondefense Discretionary,1991-08-01,August 1991 Baseline,Economic,1996,0.000
Discretionary,Nondefense Discretionary,1991-08-01,August 1991 Baseline,Technical,1991,0.000
Discretionary,Nondefense Discretionary,1991-08-01,August 1991 Baseline,Technical,1992,0.000
Discretionary,Nondefense Discretionary,1991-08-01,August 1991 Baseline,Technical,1993,0.000
Discretionary,Nondefense Discretionary,1991-08-01,August 1991 Baseline,Technical,1994,0.000
Discretionary,Nondefense Discretionary,1991-08-01,August 1991 Baseline,Technical,1995,0.000
Discretionary,Nondefense Discretionary,1991-08-01,August 1991 Baseline,Technical,1996,0.000
Discretionary,Nondefense Discretionary,1992-01-01,January 1992 Baseline,Economic,1991,0.000
Discretionary,Nondefense Discretionary,1992-01-01,January 1992 Baseline,Economic,1992,0.000
Discretionary,Nondefense Discretionary,1992-01-01,January 1992 Baseline,Economic,1993,0.000
Discretionary,Nondefense Discretionary,1992-01-01,January 1992 Baseline,Economic,1994,0.000
Discretionary,Nondefense Discretionary,1992-01-01,January 1992 Baseline,Economic,1995,0.000
Discretionary,Nondefense Discretionary,1992-01-01,January 1992 Baseline,Economic,1996,0.000
Discretionary,Nondefense Discretionary,1992-01-01,January 1992 Baseline,Legislative,1991,0.000
Discretionary,Nondefense Discretionary,1992-01-01,January 1992 Baseline,Legislative,1992,0.000
Discretionary,Nondefense Discretionary,1992-01-01,January 1992 Baseline,Legislative,1993,0.000
Discretionary,Nondefense Discretionary,1992-01-01,January 1992 Baseline,Legislative,1994,0.000
Discretionary,Nondefense Discretionary,1992-01-01,January 1992 Baseline,Legislative,1995,0.000
Discretionary,Nondefense Discretionary,1992-01-01,January 1992 Baseline,Legislative,1996,0.000
Discretionary,Nondefense Discretionary,1992-01-01,January 1992 Baseline,Technical,1991,0.000
Discretionary,Nondefense Discretionary,1992-01-01,January 1992 Baseline,Technical,1992,0.000
Discretionary,Nondefense Discretionary,1992-01-01,January 1992 Baseline,Technical,1993,0.000
Discretionary,Nondefense Discretionary,1992-01-01,January 1992 Baseline,Technical,1994,0.000
Discretionary,Nondefense Discretionary,1992-01-01,January 1992 Baseline,Technical,1995,0.000
Discretionary,Nondefense Discretionary,1992-01-01,January 1992 Baseline,Technical,1996,0.000
Discretionary,Nondefense Discretionary,1992-03-01,March 1992 Baseline,Economic,1992,0.000
Discretionary,Nondefense Discretionary,1992-03-01,March 1992 Baseline,Economic,1993,0.000
Discretionary,Nondefense Discretionary,1992-03-01,March 1992 Baseline,Economic,1994,0.000
Discretionary,Nondefense Discretionary,1992-03-01,March 1992 Baseline,Economic,1995,0.000
Discretionary,Nondefense Discretionary,1992-03-01,March 1992 Baseline,Economic,1996,0.000
Discretionary,Nondefense Discretionary,1992-03-01,March 1992 Baseline,Economic,1997,0.000
Discretionary,Nondefense Discretionary,1992-03-01,March 1992 Baseline,Legislative,1992,0.000
Discretionary,Nondefense Discretionary,1992-03-01,March 1992 Baseline,Legislative,1993,0.000
Discretionary,Nondefense Discretionary,1992-03-01,March 1992 Baseline,Legislative,1994,0.000
Discretionary,Nondefense Discretionary,1992-03-01,March 1992 Baseline,Legislative,1995,0.000
Discretionary,Nondefense Discretionary,1992-03-01,March 1992 Baseline,Legislative,1996,0.000
Discretionary,Nondefense Discretionary,1992-03-01,March 1992 Baseline,Legislative,1997,0.000
Discretionary,Nondefense Discretionary,1992-03-01,March 1992 Baseline,Technical,1992,6.123
Discretionary,Nondefense Discretionary,1992-03-01,March 1992 Baseline,Technical,1993,4.396
Discretionary,Nondefense Discretionary,1992-03-01,March 1992 Baseline,Technical,1994,5.091
Discretionary,Nondefense Discretionary,1992-03-01,March 1992 Baseline,Technical,1995,5.990
Discretionary,Nondefense Discretionary,1992-03-01,March 1992 Baseline,Technical,1996,6.193
Discretionary,Nondefense Discretionary,1992-03-01,March 1992 Baseline,Technical,1997,6.405
Discretionary,Nondefense Discretionary,1992-08-01,August 1992 Baseline,Economic,1992,0.000
Discretionary,Nondefense Discretionary,1992-08-01,August 1992 Baseline,Economic,1993,0.000
Discretionary,Nondefense Discretionary,1992-08-01,August 1992 Baseline,Economic,1994,-0.515
Discretionary,Nondefense Discretionary,1992-08-01,August 1992 Baseline,Economic,1995,-1.069
Discretionary,Nondefense Discretionary,1992-08-01,August 1992 Baseline,Economic,1996,-1.106
Discretionary,Nondefense Discretionary,1992-08-01,August 1992 Baseline,Economic,1997,-1.143
Discretionary,Nondefense Discretionary,1992-08-01,August 1992 Baseline,Legislative,1992,0.517
Discretionary,Nondefense Discretionary,1992-08-01,August 1992 Baseline,Legislative,1993,0.286
Discretionary,Nondefense Discretionary,1992-08-01,August 1992 Baseline,Legislative,1994,0.085
Discretionary,Nondefense Discretionary,1992-08-01,August 1992 Baseline,Legislative,1995,0.003
Discretionary,Nondefense Discretionary,1992-08-01,August 1992 Baseline,Legislative,1996,-0.008
Discretionary,Nondefense Discretionary,1992-08-01,August 1992 Baseline,Legislative,1997,-0.008
Discretionary,Nondefense Discretionary,1992-08-01,August 1992 Baseline,Technical,1992,0.311
Discretionary,Nondefense Discretionary,1992-08-01,August 1992 Baseline,Technical,1993,0.150
Discretionary,Nondefense Discretionary,1992-08-01,August 1992 Baseline,Technical,1994,0.013
Discretionary,Nondefense Discretionary,1992-08-01,August 1992 Baseline,Technical,1995,-0.001
Discretionary,Nondefense Discretionary,1992-08-01,August 1992 Baseline,Technical,1996,0.006
Discretionary,Nondefense Discretionary,1992-08-01,August 1992 Baseline,Technical,1997,0.008
Discretionary,Nondefense Discretionary,1993-01-01,January 1993 Baseline,Economic,1992,0.000
Discretionary,Nondefense Discretionary,1993-01-01,January 1993 Baseline,Economic,1993,2.876
Discretionary,Nondefense Discretionary,1993-01-01,January 1993 Baseline,Economic,1994,0.488
Discretionary,Nondefense Discretionary,1993-01-01,January 1993 Baseline,Economic,1995,2.056
Discretionary,Nondefense Discretionary,1993-01-01,January 1993 Baseline,Economic,1996,-1.675
Discretionary,Nondefense Discretionary,1993-01-01,January 1993 Baseline,Economic,1997,-5.259
Discretionary,Nondefense Discretionary,1993-01-01,January 1993 Baseline,Economic,1998,0.000
Discretionary,Nondefense Discretionary,1993-01-01,January 1993 Baseline,Legislative,1992,0.000
Discretionary,Nondefense Discretionary,1993-01-01,January 1993 Baseline,Legislative,1993,-1.837
Discretionary,Nondefense Discretionary,1993-01-01,January 1993 Baseline,Legislative,1994,1.559
Discretionary,Nondefense Discretionary,1993-01-01,January 1993 Baseline,Legislative,1995,0.276
Discretionary,Nondefense Discretionary,1993-01-01,January 1993 Baseline,Legislative,1996,0.341
Discretionary,Nondefense Discretionary,1993-01-01,January 1993 Baseline,Legislative,1997,0.000
Discretionary,Nondefense Discretionary,1993-01-01,January 1993 Baseline,Legislative,1998,0.000
Discretionary,Nondefense Discretionary,1993-01-01,January 1993 Baseline,Technical,1992,-4.914
Discretionary,Nondefense Discretionary,1993-01-01,January 1993 Baseline,Technical,1993,5.522
Discretionary,Nondefense Discretionary,1993-01-01,January 1993 Baseline,Technical,1994,-0.002
Discretionary,Nondefense Discretionary,1993-01-01,January 1993 Baseline,Technical,1995,-0.001
Discretionary,Nondefense Discretionary,1993-01-01,January 1993 Baseline,Technical,1996,0.000
Discretionary,Nondefense Discretionary,1993-01-01,January 1993 Baseline,Technical,1997,-0.001
Discretionary,Nondefense Discretionary,1993-01-01,January 1993 Baseline,Technical,1998,0.000
Discretionary,Nondefense Discretionary,1993-03-01,March 1993 Baseline,Economic,1993,0.000
Discretionary,Nondefense Discretionary,1993-03-01,March 1993 Baseline,Economic,1994,0.000
Discretionary,Nondefense Discretionary,1993-03-01,March 1993 Baseline,Economic,1995,0.000
Discretionary,Nondefense Discretionary,1993-03-01,March 1993 Baseline,Economic,1996,0.000
Discretionary,Nondefense Discretionary,1993-03-01,March 1993 Baseline,Economic,1997,0.000
Discretionary,Nondefense Discretionary,1993-03-01,March 1993 Baseline,Economic,1998,0.000
Discretionary,Nondefense Discretionary,1993-03-01,March 1993 Baseline,Legislative,1993,0.000
Discretionary,Nondefense Discretionary,1993-03-01,March 1993 Baseline,Legislative,1994,0.000
Discretionary,Nondefense Discretionary,1993-03-01,March 1993 Baseline,Legislative,1995,0.000
Discretionary,Nondefense Discretionary,1993-03-01,March 1993 Baseline,Legislative,1996,0.000
Discretionary,Nondefense Discretionary,1993-03-01,March 1993 Baseline,Legislative,1997,0.000
Discretionary,Nondefense Discretionary,1993-03-01,March 1993 Baseline,Legislative,1998,0.000
Discretionary,Nondefense Discretionary,1993-03-01,March 1993 Baseline,Technical,1993,0.525
Discretionary,Nondefense Discretionary,1993-03-01,March 1993 Baseline,Technical,1994,0.400
Discretionary,Nondefense Discretionary,1993-03-01,March 1993 Baseline,Technical,1995,0.741
Discretionary,Nondefense Discretionary,1993-03-01,March 1993 Baseline,Technical,1996,0.761
Discretionary,Nondefense Discretionary,1993-03-01,March 1993 Baseline,Technical,1997,0.782
Discretionary,Nondefense Discretionary,1993-03-01,March 1993 Baseline,Technical,1998,0.804
Discretionary,Nondefense Discretionary,1993-09-01,September 1993 Baseline,Economic,1993,0.000
Discretionary,Nondefense Discretionary,1993-09-01,September 1993 Baseline,Economic,1994,0.000
Discretionary,Nondefense Discretionary,1993-09-01,September 1993 Baseline,Economic,1995,0.279
Discretionary,Nondefense Discretionary,1993-09-01,September 1993 Baseline,Economic,1996,0.000
Discretionary,Nondefense Discretionary,1993-09-01,September 1993 Baseline,Economic,1997,0.000
Discretionary,Nondefense Discretionary,1993-09-01,September 1993 Baseline,Economic,1998,0.000
Discretionary,Nondefense Discretionary,1993-09-01,September 1993 Baseline,Legislative,1993,3.602
Discretionary,Nondefense Discretionary,1993-09-01,September 1993 Baseline,Legislative,1994,6.218
Discretionary,Nondefense Discretionary,1993-09-01,September 1993 Baseline,Legislative,1995,1.847
Discretionary,Nondefense Discretionary,1993-09-01,September 1993 Baseline,Legislative,1996,-6.378
Discretionary,Nondefense Discretionary,1993-09-01,September 1993 Baseline,Legislative,1997,-22.206
Discretionary,Nondefense Discretionary,1993-09-01,September 1993 Baseline,Legislative,1998,-37.098
Discretionary,Nondefense Discretionary,1993-09-01,September 1993 Baseline,Technical,1993,-4.148
Discretionary,Nondefense Discretionary,1993-09-01,September 1993 Baseline,Technical,1994,-2.712
Discretionary,Nondefense Discretionary,1993-09-01,September 1993 Baseline,Technical,1995,-0.648
Discretionary,Nondefense Discretionary,1993-09-01,September 1993 Baseline,Technical,1996,-0.621
Discretionary,Nondefense Discretionary,1993-09-01,September 1993 Baseline,Technical,1997,-0.706
Discretionary,Nondefense Discretionary,1993-09-01,September 1993 Baseline,Technical,1998,-0.749
Discretionary,Nondefense Discretionary,1993-09-01,September 1993 Baseline,Technical,2000,0.000
Discretionary,Nondefense Discretionary,1994-01-01,January 1994 Baseline,Economic,1993,-1.226
Discretionary,Nondefense Discretionary,1994-01-01,January 1994 Baseline,Economic,1994,0.000
Discretionary,Nondefense Discretionary,1994-01-01,January 1994 Baseline,Economic,1995,0.139
Discretionary,Nondefense Discretionary,1994-01-01,January 1994 Baseline,Economic,1996,0.102
Discretionary,Nondefense Discretionary,1994-01-01,January 1994 Baseline,Economic,1997,0.336
Discretionary,Nondefense Discretionary,1994-01-01,January 1994 Baseline,Economic,1998,0.679
Discretionary,Nondefense Discretionary,1994-01-01,January 1994 Baseline,Legislative,1993,0.000
Discretionary,Nondefense Discretionary,1994-01-01,January 1994 Baseline,Legislative,1994,1.044
Discretionary,Nondefense Discretionary,1994-01-01,January 1994 Baseline,Legislative,1995,0.136
Discretionary,Nondefense Discretionary,1994-01-01,January 1994 Baseline,Legislative,1996,0.030
Discretionary,Nondefense Discretionary,1994-01-01,January 1994 Baseline,Legislative,1997,0.009
Discretionary,Nondefense Discretionary,1994-01-01,January 1994 Baseline,Legislative,1998,0.000
Discretionary,Nondefense Discretionary,1994-01-01,January 1994 Baseline,Legislative,2000,0.000
Discretionary,Nondefense Discretionary,1994-01-01,January 1994 Baseline,Technical,1993,-11.714
Discretionary,Nondefense Discretionary,1994-01-01,January 1994 Baseline,Technical,1994,-0.842
Discretionary,Nondefense Discretionary,1994-01-01,January 1994 Baseline,Technical,1995,-1.069
Discretionary,Nondefense Discretionary,1994-01-01,January 1994 Baseline,Technical,1996,-1.063
Discretionary,Nondefense Discretionary,1994-01-01,January 1994 Baseline,Technical,1997,-0.518
Discretionary,Nondefense Discretionary,1994-01-01,January 1994 Baseline,Technical,1998,-0.476
Discretionary,Nondefense Discretionary,1994-04-01,April 1994 Baseline,Economic,1994,0.000
Discretionary,Nondefense Discretionary,1994-04-01,April 1994 Baseline,Economic,1995,0.000
Discretionary,Nondefense Discretionary,1994-04-01,April 1994 Baseline,Economic,1996,0.000
Discretionary,Nondefense Discretionary,1994-04-01,April 1994 Baseline,Economic,1997,0.000
Discretionary,Nondefense Discretionary,1994-04-01,April 1994 Baseline,Economic,1998,0.000
Discretionary,Nondefense Discretionary,1994-04-01,April 1994 Baseline,Economic,1999,0.000
Discretionary,Nondefense Discretionary,1994-04-01,April 1994 Baseline,Legislative,1994,3.404
Discretionary,Nondefense Discretionary,1994-04-01,April 1994 Baseline,Legislative,1995,4.856
Discretionary,Nondefense Discretionary,1994-04-01,April 1994 Baseline,Legislative,1996,2.277
Discretionary,Nondefense Discretionary,1994-04-01,April 1994 Baseline,Legislative,1997,0.426
Discretionary,Nondefense Discretionary,1994-04-01,April 1994 Baseline,Legislative,1998,0.166
Discretionary,Nondefense Discretionary,1994-04-01,April 1994 Baseline,Legislative,1999,0.171
Discretionary,Nondefense Discretionary,1994-04-01,April 1994 Baseline,Legislative,2000,0.000
Discretionary,Nondefense Discretionary,1994-04-01,April 1994 Baseline,Technical,1994,0.777
Discretionary,Nondefense Discretionary,1994-04-01,April 1994 Baseline,Technical,1995,0.342
Discretionary,Nondefense Discretionary,1994-04-01,April 1994 Baseline,Technical,1996,1.514
Discretionary,Nondefense Discretionary,1994-04-01,April 1994 Baseline,Technical,1997,1.647
Discretionary,Nondefense Discretionary,1994-04-01,April 1994 Baseline,Technical,1998,1.722
Discretionary,Nondefense Discretionary,1994-04-01,April 1994 Baseline,Technical,1999,1.772
Discretionary,Nondefense Discretionary,1994-08-01,August 1994 Baseline,Economic,1994,0.000
Discretionary,Nondefense Discretionary,1994-08-01,August 1994 Baseline,Economic,1995,0.000
Discretionary,Nondefense Discretionary,1994-08-01,August 1994 Baseline,Economic,1996,-0.710
Discretionary,Nondefense Discretionary,1994-08-01,August 1994 Baseline,Economic,1997,-1.533
Discretionary,Nondefense Discretionary,1994-08-01,August 1994 Baseline,Economic,1998,-2.044
Discretionary,Nondefense Discretionary,1994-08-01,August 1994 Baseline,Economic,1999,-0.465
Discretionary,Nondefense Discretionary,1994-08-01,August 1994 Baseline,Legislative,1994,0.000
Discretionary,Nondefense Discretionary,1994-08-01,August 1994 Baseline,Legislative,1995,0.007
Discretionary,Nondefense Discretionary,1994-08-01,August 1994 Baseline,Legislative,1996,0.000
Discretionary,Nondefense Discretionary,1994-08-01,August 1994 Baseline,Legislative,1997,0.000
Discretionary,Nondefense Discretionary,1994-08-01,August 1994 Baseline,Legislative,1998,0.000
Discretionary,Nondefense Discretionary,1994-08-01,August 1994 Baseline,Legislative,1999,0.000
Discretionary,Nondefense Discretionary,1994-08-01,August 1994 Baseline,Technical,1994,-2.784
Discretionary,Nondefense Discretionary,1994-08-01,August 1994 Baseline,Technical,1995,-0.004
Discretionary,Nondefense Discretionary,1994-08-01,August 1994 Baseline,Technical,1996,0.000
Discretionary,Nondefense Discretionary,1994-08-01,August 1994 Baseline,Technical,1997,-0.110
Discretionary,Nondefense Discretionary,1994-08-01,August 1994 Baseline,Technical,1998,0.000
Discretionary,Nondefense Discretionary,1994-08-01,August 1994 Baseline,Technical,1999,0.003
Discretionary,Nondefense Discretionary,1995-01-01,January 1995 Baseline,Economic,1994,-0.060
Discretionary,Nondefense Discretionary,1995-01-01,January 1995 Baseline,Economic,1995,0.000
Discretionary,Nondefense Discretionary,1995-01-01,January 1995 Baseline,Economic,1996,-0.143
Discretionary,Nondefense Discretionary,1995-01-01,January 1995 Baseline,Economic,1997,-0.110
Discretionary,Nondefense Discretionary,1995-01-01,January 1995 Baseline,Economic,1998,0.224
Discretionary,Nondefense Discretionary,1995-01-01,January 1995 Baseline,Economic,1999,0.231
Discretionary,Nondefense Discretionary,1995-01-01,January 1995 Baseline,Legislative,1994,0.660
Discretionary,Nondefense Discretionary,1995-01-01,January 1995 Baseline,Legislative,1995,2.397
Discretionary,Nondefense Discretionary,1995-01-01,January 1995 Baseline,Legislative,1996,0.606
Discretionary,Nondefense Discretionary,1995-01-01,January 1995 Baseline,Legislative,1997,0.369
Discretionary,Nondefense Discretionary,1995-01-01,January 1995 Baseline,Legislative,1998,0.293
Discretionary,Nondefense Discretionary,1995-01-01,January 1995 Baseline,Legislative,1999,0.313
Discretionary,Nondefense Discretionary,1995-01-01,January 1995 Baseline,Legislative,2001,0.000
Discretionary,Nondefense Discretionary,1995-01-01,January 1995 Baseline,Technical,1994,-3.917
Discretionary,Nondefense Discretionary,1995-01-01,January 1995 Baseline,Technical,1995,-0.884
Discretionary,Nondefense Discretionary,1995-01-01,January 1995 Baseline,Technical,1996,6.077
Discretionary,Nondefense Discretionary,1995-01-01,January 1995 Baseline,Technical,1997,5.195
Discretionary,Nondefense Discretionary,1995-01-01,January 1995 Baseline,Technical,1998,5.100
Discretionary,Nondefense Discretionary,1995-01-01,January 1995 Baseline,Technical,1999,3.401
Discretionary,Nondefense Discretionary,1995-04-01,April 1995 Baseline,Economic,1995,0.000
Discretionary,Nondefense Discretionary,1995-04-01,April 1995 Baseline,Economic,1996,0.000
Discretionary,Nondefense Discretionary,1995-04-01,April 1995 Baseline,Economic,1997,0.000
Discretionary,Nondefense Discretionary,1995-04-01,April 1995 Baseline,Economic,1998,0.000
Discretionary,Nondefense Discretionary,1995-04-01,April 1995 Baseline,Economic,1999,0.000
Discretionary,Nondefense Discretionary,1995-04-01,April 1995 Baseline,Economic,2000,0.000
Discretionary,Nondefense Discretionary,1995-04-01,April 1995 Baseline,Legislative,1995,0.000
Discretionary,Nondefense Discretionary,1995-04-01,April 1995 Baseline,Legislative,1996,0.000
Discretionary,Nondefense Discretionary,1995-04-01,April 1995 Baseline,Legislative,1997,0.000
Discretionary,Nondefense Discretionary,1995-04-01,April 1995 Baseline,Legislative,1998,0.000
Discretionary,Nondefense Discretionary,1995-04-01,April 1995 Baseline,Legislative,1999,0.000
Discretionary,Nondefense Discretionary,1995-04-01,April 1995 Baseline,Legislative,2000,0.000
Discretionary,Nondefense Discretionary,1995-04-01,April 1995 Baseline,Technical,1995,3.181
Discretionary,Nondefense Discretionary,1995-04-01,April 1995 Baseline,Technical,1996,2.872
Discretionary,Nondefense Discretionary,1995-04-01,April 1995 Baseline,Technical,1997,5.974
Discretionary,Nondefense Discretionary,1995-04-01,April 1995 Baseline,Technical,1998,9.110
Discretionary,Nondefense Discretionary,1995-04-01,April 1995 Baseline,Technical,1999,9.443
Discretionary,Nondefense Discretionary,1995-04-01,April 1995 Baseline,Technical,2000,9.754
Discretionary,Nondefense Discretionary,1995-08-01,August 1995 Baseline,Economic,1995,0.000
Discretionary,Nondefense Discretionary,1995-08-01,August 1995 Baseline,Economic,1996,0.000
Discretionary,Nondefense Discretionary,1995-08-01,August 1995 Baseline,Economic,1997,0.000
Discretionary,Nondefense Discretionary,1995-08-01,August 1995 Baseline,Economic,1998,0.000
Discretionary,Nondefense Discretionary,1995-08-01,August 1995 Baseline,Economic,1999,-1.113
Discretionary,Nondefense Discretionary,1995-08-01,August 1995 Baseline,Economic,2000,-2.298
Discretionary,Nondefense Discretionary,1995-08-01,August 1995 Baseline,Economic,2001,0.000
Discretionary,Nondefense Discretionary,1995-08-01,August 1995 Baseline,Economic,2002,0.000
Discretionary,Nondefense Discretionary,1995-08-01,August 1995 Baseline,Economic,2003,0.000
Discretionary,Nondefense Discretionary,1995-08-01,August 1995 Baseline,Economic,2004,0.000
Discretionary,Nondefense Discretionary,1995-08-01,August 1995 Baseline,Economic,2005,0.000
Discretionary,Nondefense Discretionary,1995-08-01,August 1995 Baseline,Legislative,1995,-0.051
Discretionary,Nondefense Discretionary,1995-08-01,August 1995 Baseline,Legislative,1996,-1.762
Discretionary,Nondefense Discretionary,1995-08-01,August 1995 Baseline,Legislative,1997,-0.528
Discretionary,Nondefense Discretionary,1995-08-01,August 1995 Baseline,Legislative,1998,-0.136
Discretionary,Nondefense Discretionary,1995-08-01,August 1995 Baseline,Legislative,1999,-0.140
Discretionary,Nondefense Discretionary,1995-08-01,August 1995 Baseline,Legislative,2000,-0.145
Discretionary,Nondefense Discretionary,1995-08-01,August 1995 Baseline,Legislative,2001,0.000
Discretionary,Nondefense Discretionary,1995-08-01,August 1995 Baseline,Legislative,2002,0.000
Discretionary,Nondefense Discretionary,1995-08-01,August 1995 Baseline,Legislative,2003,0.000
Discretionary,Nondefense Discretionary,1995-08-01,August 1995 Baseline,Legislative,2004,0.000
Discretionary,Nondefense Discretionary,1995-08-01,August 1995 Baseline,Legislative,2005,0.000
Discretionary,Nondefense Discretionary,1995-08-01,August 1995 Baseline,Technical,1995,-1.951
Discretionary,Nondefense Discretionary,1995-08-01,August 1995 Baseline,Technical,1996,0.031
Discretionary,Nondefense Discretionary,1995-08-01,August 1995 Baseline,Technical,1997,0.004
Discretionary,Nondefense Discretionary,1995-08-01,August 1995 Baseline,Technical,1998,0.000
Discretionary,Nondefense Discretionary,1995-08-01,August 1995 Baseline,Technical,1999,0.000
Discretionary,Nondefense Discretionary,1995-08-01,August 1995 Baseline,Technical,2000,0.000
Discretionary,Nondefense Discretionary,1995-08-01,August 1995 Baseline,Technical,2001,0.000
Discretionary,Nondefense Discretionary,1995-08-01,August 1995 Baseline,Technical,2002,0.000
Discretionary,Nondefense Discretionary,1995-08-01,August 1995 Baseline,Technical,2003,0.000
Discretionary,Nondefense Discretionary,1995-08-01,August 1995 Baseline,Technical,2004,0.000
Discretionary,Nondefense Discretionary,1995-08-01,August 1995 Baseline,Technical,2005,0.000
Discretionary,Nondefense Discretionary,1995-12-01,December 1995 Baseline (Post-Legislation),Economic,1995,0.000
Discretionary,Nondefense Discretionary,1995-12-01,December 1995 Baseline (Post-Legislation),Economic,1995,0.000
Discretionary,Nondefense Discretionary,1995-12-01,December 1995 Baseline (Post-Legislation),Economic,1996,0.000
Discretionary,Nondefense Discretionary,1995-12-01,December 1995 Baseline (Post-Legislation),Economic,1996,0.000
Discretionary,Nondefense Discretionary,1995-12-01,December 1995 Baseline (Post-Legislation),Economic,1997,0.000
Discretionary,Nondefense Discretionary,1995-12-01,December 1995 Baseline (Post-Legislation),Economic,1997,0.000
Discretionary,Nondefense Discretionary,1995-12-01,December 1995 Baseline (Post-Legislation),Economic,1998,0.000
Discretionary,Nondefense Discretionary,1995-12-01,December 1995 Baseline (Post-Legislation),Economic,1998,0.000
Discretionary,Nondefense Discretionary,1995-12-01,December 1995 Baseline (Post-Legislation),Economic,1999,0.000
Discretionary,Nondefense Discretionary,1995-12-01,December 1995 Baseline (Post-Legislation),Economic,1999,-1.668
Discretionary,Nondefense Discretionary,1995-12-01,December 1995 Baseline (Post-Legislation),Economic,2000,0.000
Discretionary,Nondefense Discretionary,1995-12-01,December 1995 Baseline (Post-Legislation),Economic,2000,-3.438
Discretionary,Nondefense Discretionary,1995-12-01,December 1995 Baseline (Post-Legislation),Economic,2001,0.000
Discretionary,Nondefense Discretionary,1995-12-01,December 1995 Baseline (Post-Legislation),Economic,2002,0.000
Discretionary,Nondefense Discretionary,1995-12-01,December 1995 Baseline (Post-Legislation),Economic,2003,0.000
Discretionary,Nondefense Discretionary,1995-12-01,December 1995 Baseline (Post-Legislation),Economic,2004,0.000
Discretionary,Nondefense Discretionary,1995-12-01,December 1995 Baseline (Post-Legislation),Economic,2005,0.000
Discretionary,Nondefense Discretionary,1995-12-01,December 1995 Baseline (Post-Legislation),Legislative,1995,0.000
Discretionary,Nondefense Discretionary,1995-12-01,December 1995 Baseline (Post-Legislation),Legislative,1995,0.000
Discretionary,Nondefense Discretionary,1995-12-01,December 1995 Baseline (Post-Legislation),Legislative,1996,0.000
Discretionary,Nondefense Discretionary,1995-12-01,December 1995 Baseline (Post-Legislation),Legislative,1996,0.000
Discretionary,Nondefense Discretionary,1995-12-01,December 1995 Baseline (Post-Legislation),Legislative,1997,0.000
Discretionary,Nondefense Discretionary,1995-12-01,December 1995 Baseline (Post-Legislation),Legislative,1997,0.000
Discretionary,Nondefense Discretionary,1995-12-01,December 1995 Baseline (Post-Legislation),Legislative,1998,0.000
Discretionary,Nondefense Discretionary,1995-12-01,December 1995 Baseline (Post-Legislation),Legislative,1998,0.000
Discretionary,Nondefense Discretionary,1995-12-01,December 1995 Baseline (Post-Legislation),Legislative,1999,0.000
Discretionary,Nondefense Discretionary,1995-12-01,December 1995 Baseline (Post-Legislation),Legislative,1999,0.000
Discretionary,Nondefense Discretionary,1995-12-01,December 1995 Baseline (Post-Legislation),Legislative,2000,0.000
Discretionary,Nondefense Discretionary,1995-12-01,December 1995 Baseline (Post-Legislation),Legislative,2000,0.000
Discretionary,Nondefense Discretionary,1995-12-01,December 1995 Baseline (Post-Legislation),Legislative,2001,0.000
Discretionary,Nondefense Discretionary,1995-12-01,December 1995 Baseline (Post-Legislation),Legislative,2002,0.000
